variant_id,path,segment_id,entry_anchor_ms,mid_anchor_ms,exit_anchor_ms,tempo_factor,pitch_semitones,state_suggestion,phase_affinity,calm_final,centroid,rms
seg_0005__tm04__p-1,seg_0005__tm04__p-1.wav,seg_0005,245,12368,21268,-0.04,-1,S3,inhale,0.9413281504682712,1159.279235664828,0.0114931855350732
seg_0022__tm04__p-1,seg_0022__tm04__p-1.wav,seg_0022,855,7523,19447,-0.04,-1,S3,inhale,0.9398247597485416,987.7730952617396,0.0119116650894284
seg_0016__t00__p0,seg_0016__t00__p0.wav,seg_0016,213,413,6816,0.0,0,S3,inhale,0.9383504928752632,446.55887302504993,0.0036096174735575
seg_0022__tm08__p-1,seg_0022__tm08__p-1.wav,seg_0022,892,7850,20292,-0.08,-1,S3,inhale,0.9280067550515796,1007.1037645930816,0.0114619266241788
seg_0022__tm04__p0,seg_0022__tm04__p0.wav,seg_0022,855,7523,19447,-0.04,0,S3,inhale,0.921737906258422,1042.6882780212743,0.0118607897311449
seg_0023__tm08__p-1,seg_0023__tm08__p-1.wav,seg_0023,221,12638,26482,-0.08,-1,S3,inhale,0.9173009442064632,1692.7703534322636,0.0157717000693082
seg_0023__tm04__p-1,seg_0023__tm04__p-1.wav,seg_0023,211,12111,25378,-0.04,-1,S3,inhale,0.9167369761854386,1700.1510508304702,0.0148036507889628
seg_0023__t00__p-1,seg_0023__t00__p-1.wav,seg_0023,203,11627,24363,0.0,-1,S3,inhale,0.9143236116763108,1695.2335091947064,0.0145182628184556
seg_0022__t00__p-1,seg_0022__t00__p-1.wav,seg_0022,821,7222,18669,0.0,-1,S3,inhale,0.9135102024338592,1023.8502261788344,0.011247674934566
seg_0005__t00__p-1,seg_0005__t00__p-1.wav,seg_0005,235,11873,20417,0.0,-1,S3,inhale,0.9109750426661004,1131.5116382257113,0.012468809261918
seg_0022__tm08__p0,seg_0022__tm08__p0.wav,seg_0022,892,7850,20292,-0.08,0,S3,inhale,0.90998789932345,1089.5109423756264,0.0112700201570987
seg_0023__tm08__p0,seg_0023__tm08__p0.wav,seg_0023,221,12638,26482,-0.08,0,S3,inhale,0.9077833663346512,1758.5578278140545,0.0168084427714347
seg_0023__tm04__p0,seg_0023__tm04__p0.wav,seg_0023,211,12111,25378,-0.04,0,S3,inhale,0.9069967849834446,1790.7306700859338,0.0158111546188592
seg_0022__t00__p0,seg_0022__t00__p0.wav,seg_0022,821,7222,18669,0.0,0,S3,inhale,0.8975692154455587,1108.6114007856272,0.0157344378530979
seg_0023__t00__p0,seg_0023__t00__p0.wav,seg_0023,203,11627,24363,0.0,0,S3,inhale,0.8847478903846173,1765.1712444720306,0.022766089066863
seg_0011__tm04__p-1,seg_0011__tm04__p-1.wav,seg_0011,1033,10755,28283,-0.04,-1,S3,inhale,0.8078234317616041,1857.7032162638943,0.0200006831437349
seg_0011__tm08__p-1,seg_0011__tm08__p-1.wav,seg_0011,1078,11223,29513,-0.08,-1,S3,inhale,0.8034800861181749,1806.60146048326,0.022312942892313
seg_0011__t00__p-1,seg_0011__t00__p-1.wav,seg_0011,992,10325,27152,0.0,-1,S3,inhale,0.8011767138636876,1845.1012851800208,0.0212285704910755
seg_0008__t00__p-1,seg_0008__t00__p-1.wav,seg_0008,331,5525,14720,0.0,-1,S3,inhale,0.7960458877658662,1525.7411557571645,0.031867641955614
seg_0008__tm08__p-1,seg_0008__tm08__p-1.wav,seg_0008,360,6005,16000,-0.08,-1,S3,inhale,0.7933966629302668,1553.6391155696228,0.0305120646953582
seg_0011__tm08__p0,seg_0011__tm08__p0.wav,seg_0011,1078,11223,29513,-0.08,0,S3,inhale,0.7920994821692183,1922.2489332543664,0.0217238571494817
